GMT_timestamp,local_timestamp,trial_file_version,link,calibration,id,age,gender,education,handedness,duration_s
2025-03-18_16:19:41,2025-03-18_18:19:41,2020-02-18_14:53:12,https://www.testable.org/experiment/3628/918641/start,0.8,etva,"33",woman,Bachelor degree,right-handed,602.249

rowNo,type,condition1,trialNo,stim1,key,ITI,stimFormat,trialText,keyboard,ITI_ms,ITI_f,ITI_fDuration,timestamp,response,RT,correct
"14",test,learn,"1",B1_Identical_Left,"2","500",.jpg,Which face did you just view?,1 2 3,501,30,"16.69",169981,"2",3705,"1"
"15",test,learn,"2",B2_Identical_Frontal,"3","500",.jpg,Which face did you just view?,1 2 3,500,30,"16.66",174268,"3",3793,"1"
"16",test,learn,"3",B3_Identical_Right,"3","500",.jpg,Which face did you just view?,1 2 3,500,30,"16.67",177488,"3",2730,"1"
"21",test,learn,"4",D1_Identical_Left,"2","500",.jpg,Which face did you just view?,1 2 3,500,30,"16.67",193446,"2",2171,"1"
"22",test,learn,"5",D2_Identical_Frontal,"3","500",.jpg,Which face did you just view?,1 2 3,501,30,"16.68",195921,"3",1980,"1"
"23",test,learn,"6",D3_Identical_Right,"3","500",.jpg,Which face did you just view?,1 2 3,500,30,"16.66",198369,"3",1961,"1"
"28",test,learn,"7",J_1_Iden_L,"3","500",.jpg,Which face did you just view?,1 2 3,500,30,"16.65",212561,"3",1721,"1"
"29",test,learn,"8",J_2_Iden_Front,"3","500",.jpg,Which face did you just view?,1 2 3,500,30,"16.67",215069,"3",2013,"1"
"30",test,learn,"9",J_3_Iden_R,"1","500",.jpg,Which face did you just view?,1 2 3,500,30,"16.65",217416,"1",1860,"1"
"35",test,learn,"10",M_1_Iden_L,"2","500",.jpg,Which face did you just view?,1 2 3,500,30,"16.66",233397,"2",3175,"1"
"36",test,learn,"11",M_2_Iden_Front,"3","500",.jpg,Which face did you just view?,1 2 3,500,30,"16.66",235768,"3",1879,"1"
"37",test,learn,"12",M_3_Iden_R,"1","500",.jpg,Which face did you just view?,1 2 3,500,30,"16.67",238965,"1",2710,"1"
"42",test,learn,"13",N_1_Iden_L,"3","500",.jpg,Which face did you just view?,1 2 3,500,30,"16.66",253384,"3",1745,"1"
"43",test,learn,"14",N_2_Iden_Front,"1","500",.jpg,Which face did you just view?,1 2 3,500,30,"16.68",256353,"1",2483,"1"
"44",test,learn,"15",N_3_Iden_R,"3","500",.jpg,Which face did you just view?,1 2 3,500,30,"16.65",258763,"3",1927,"1"
"49",test,learn,"16",Z_1_Iden_L,"1","500",.jpg,Which face did you just view?,1 2 3,500,30,"16.66",272300,"1",1432,"1"
"50",test,learn,"17",Z_2_Iden_Front,"3","500",.jpg,Which face did you just view?,1 2 3,500,30,"16.67",275291,"3",2506,"1"
"51",test,learn,"18",Z_3_Iden_R,"1","500",.jpg,Which face did you just view?,1 2 3,500,30,"16.67",277831,"1",2045,"1"
"55",test,no_noise,"19",M_5_Front_Halflit,"1","500",.jpg,Which face is one of the six target faces?,1 2 3,500,30,"16.66",307288,"1",5605,"1"
"56",test,no_noise,"20",N_8_13_R_Pro_dark,"2","500",.jpg,Which face is one of the six target faces?,1 2 3,500,30,"16.67",318410,"2",10627,"1"
"57",test,no_noise,"21",Z_6_23_Pro_L,"1","500",.jpg,Which face is one of the six target faces?,1 2 3,500,30,"16.67",323329,"2",4430,"0"
"58",test,no_noise,"22",D5_Halflit_Frontal,"3","500",.jpg,Which face is one of the six target faces?,1 2 3,500,30,"16.67",328967,"3",5151,"1"
"59",test,no_noise,"23",B7_Bottomlit_Frontal,"3","500",.jpg,Which face is one of the six target faces?,1 2 3,500,30,"16.67",336554,"3",7089,"1"
"60",test,no_noise,"24",J_6_23_L_Pro,"2","500",.jpg,Which face is one of the six target faces?,1 2 3,500,30,"16.67",338800,"2",1752,"1"
"61",test,no_noise,"25",D7_Bottomlit_Frontal,"1","500",.jpg,Which face is one of the six target faces?,1 2 3,500,30,"16.67",342560,"2",3257,"0"
"62",test,no_noise,"26",Z_5_Front_Half,"3","500",.jpg,Which face is one of the six target faces?,1 2 3,500,30,"16.67",351871,"3",8823,"1"
"63",test,no_noise,"27",M_6_23_L_Pro,"2","500",.jpg,Which face is one of the six target faces?,1 2 3,500,30,"16.66",359186,"1",6823,"0"
"64",test,no_noise,"28",J_7_Bottom_Lit,"3","500",.jpg,Which face is one of the six target faces?,1 2 3,500,30,"16.67",362517,"2",2837,"0"
"65",test,no_noise,"29",N_4_23_R_Pro,"2","500",.jpg,Which face is one of the six target faces?,1 2 3,500,30,"16.66",364785,"2",1771,"1"
"66",test,no_noise,"30",M_8_13_R_Pro_dark,"3","500",.jpg,Which face is one of the six target faces?,1 2 3,500,30,"16.66",367655,"3",2376,"1"
"67",test,no_noise,"31",J_5_Front_Halflit,"2","500",.jpg,Which face is one of the six target faces?,1 2 3,500,30,"16.66",371807,"2",3655,"1"
"68",test,no_noise,"32",N_7_Front_Bot,"1","500",.jpg,Which face is one of the six target faces?,1 2 3,500,30,"16.66",374723,"1",2427,"1"
"69",test,no_noise,"33",Z_4_23_Pro_R,"2","500",.jpg,Which face is one of the six target faces?,1 2 3,500,30,"16.67",376726,"2",1513,"1"
"70",test,no_noise,"34",D8_13_Profile_R,"2","500",.jpg,Which face is one of the six target faces?,1 2 3,500,30,"16.66",385985,"3",8771,"0"
"71",test,no_noise,"35",M_7_Front_Bot,"2","500",.jpg,Which face is one of the six target faces?,1 2 3,500,30,"16.67",396311,"3",9832,"0"
"72",test,no_noise,"36",B4_23_pro_ri,"2","500",.jpg,Which face is one of the six target faces?,1 2 3,501,30,"16.68",407645,"1",10850,"0"
"73",test,no_noise,"37",D6_23_Profile_L,"1","500",.jpg,Which face is one of the six target faces?,1 2 3,500,30,"16.68",415810,"3",7665,"0"
"74",test,no_noise,"38",N_5_Front_Half,"3","500",.jpg,Which face is one of the six target faces?,1 2 3,501,30,"16.69",420570,"3",4259,"1"
"75",test,no_noise,"39",B6_23_pro_L,"1","500",.jpg,Which face is one of the six target faces?,1 2 3,500,30,"16.66",423797,"2",2736,"0"
"76",test,no_noise,"40",Z_8_13_Pro_R_dark,"2","500",.jpg,Which face is one of the six target faces?,1 2 3,500,30,"16.67",429231,"2",4937,"1"
"77",test,no_noise,"41",J_4_23_R_Pro,"2","500",.jpg,Which face is one of the six target faces?,1 2 3,500,30,"16.68",432171,"2",2445,"1"
"78",test,no_noise,"42",B8_13_pro_R_HS,"1","500",.jpg,Which face is one of the six target faces?,1 2 3,500,30,"16.67",435131,"1",2471,"1"
"79",test,no_noise,"43",M_4_23_R_Pro,"3","500",.jpg,Which face is one of the six target faces?,1 2 3,500,30,"16.67",438967,"1",3341,"0"
"80",test,no_noise,"44",J_8_13_r_pro_dark,"1","500",.jpg,Which face is one of the six target faces?,1 2 3,500,30,"16.66",440791,"1",1332,"1"
"81",test,no_noise,"45",Z_7_Front_Bot,"2","500",.jpg,Which face is one of the six target faces?,1 2 3,500,30,"16.68",448231,"2",6955,"1"
"82",test,no_noise,"46",D4_23_profile_R,"1","500",.jpg,Which face is one of the six target faces?,1 2 3,501,30,"16.68",452758,"3",4032,"0"
"83",test,no_noise,"47",N_6_23_L_Pro,"1","500",.jpg,Which face is one of the six target faces?,1 2 3,500,30,"16.67",455143,"1",1885,"1"
"84",test,no_noise,"48",B5_halflit_frontal,"3","500",.jpg,Which face is one of the six target faces?,1 2 3,500,30,"16.66",461246,"2",5597,"0"
"86",test,noise,"49",Z_12_Front_Noisy,"2","500",.jpg,Which face is one of the six target faces?,1 2 3,500,30,"16.67",499448,"3",17208,"0"
"87",test,noise,"50",M_11_23_N_R_Pro,"3","500",.jpg,Which face is one of the six target faces?,1 2 3,500,30,"16.67",504939,"3",5001,"1"
"88",test,noise,"51",D10_Noisy_13_Profile_L,"1","500",.jpg,Which face is one of the six target faces?,1 2 3,499,30,"16.65",507254,"3",1816,"0"
"89",test,noise,"52",J_12_Frontal_HS,"1","500",.jpg,Which face is one of the six target faces?,1 2 3,500,30,"16.65",511091,"1",3353,"1"
"90",test,noise,"53",J_11_23_pro_R,"3","500",.jpg,Which face is one of the six target faces?,1 2 3,500,30,"16.67",517999,"3",6412,"1"
"91",test,noise,"54",N_9_Front_LS,"1","500",.jpg,Which face is one of the six target faces?,1 2 3,500,30,"16.66",522140,"1",3654,"1"
"92",test,noise,"55",B12_Noisy_frontal_HS,"2","500",.jpg,Which face is one of the six target faces?,1 2 3,500,30,"16.66",527314,"2",4678,"1"
"93",test,noise,"56",M_12_Front_N_HS,"1","500",.jpg,Which face is one of the six target faces?,1 2 3,500,30,"16.65",532474,"3",4661,"0"
"94",test,noise,"57",D12_Noisy_Frontal_HS,"2","500",.jpg,Which face is one of the six target faces?,1 2 3,500,30,"16.66",537966,"1",4996,"0"
"95",test,noise,"58",Z_11_23_Pro_R,"2","500",.jpg,Which face is one of the six target faces?,1 2 3,500,30,"16.66",540840,"2",2387,"1"
"96",test,noise,"59",N_10_13_L_Pro_dark,"2","500",.jpg,Which face is one of the six target faces?,1 2 3,500,30,"16.67",554364,"2",13027,"1"
"97",test,noise,"60",B9_Noisy_frontal_LS,"2","500",.jpg,Which face is one of the six target faces?,1 2 3,500,30,"16.66",558313,"1",3461,"0"
"98",test,noise,"61",M_9_Front_N_LS,"1","500",.jpg,Which face is one of the six target faces?,1 2 3,500,30,"16.66",562994,"1",4193,"1"
"99",test,noise,"62",J_9_N_Frontal_50,"2","500",.jpg,Which face is one of the six target faces?,1 2 3,500,30,"16.67",565039,"2",1554,"1"
"100",test,noise,"63",N_12_Front_Noisy,"1","500",.jpg,Which face is one of the six target faces?,1 2 3,500,30,"16.65",568821,"3",3286,"0"
"101",test,noise,"64",B10_Noisy_13_pro_L,"2","500",.jpg,Which face is one of the six target faces?,1 2 3,500,30,"16.67",572677,"3",3359,"0"
"102",test,noise,"65",N_11_23_R_Pro,"3","500",.jpg,Which face is one of the six target faces?,1 2 3,500,30,"16.67",574721,"3",1553,"1"
"103",test,noise,"66",J_10_13_pro_l,"1","500",.jpg,Which face is one of the six target faces?,1 2 3,500,30,"16.67",576826,"1",1625,"1"
"104",test,noise,"67",Z_9_Front_Noisy,"3","500",.jpg,Which face is one of the six target faces?,1 2 3,500,30,"16.66",579093,"3",1776,"1"
"105",test,noise,"68",D9_Noisy_Frontal_LS,"1","500",.jpg,Which face is one of the six target faces?,1 2 3,500,30,"16.66",582313,"2",2729,"0"
"106",test,noise,"69",M_10_N_13_L_Pro_D,"1","500",.jpg,Which face is one of the six target faces?,1 2 3,500,30,"16.67",584515,"1",1715,"1"
"107",test,noise,"70",Z_10_13_Pro_L,"1","500",.jpg,Which face is one of the six target faces?,1 2 3,500,30,"16.65",587355,"2",2354,"0"
"108",test,noise,"71",B11_Noise_23_pro_R,"1","500",.jpg,Which face is one of the six target faces?,1 2 3,500,30,"16.67",590437,"3",2586,"0"
"109",test,noise,"72",D11_Noisy_23_profile_R,"3","500",.jpg,Which face is one of the six target faces?,1 2 3,500,30,"16.67",596591,"1",5658,"0"
