GMT_timestamp,local_timestamp,trial_file_version,link,calibration,id,age,gender,education,handedness,duration_s
2025-03-18_16:16:29,2025-03-18_18:16:29,2020-02-18_14:53:12,https://www.testable.org/experiment/3628/918641/start,0.99,"315770255","29","",Master/Doctorate,left-handed,686.157

rowNo,type,condition1,trialNo,stim1,key,ITI,stimFormat,trialText,keyboard,ITI_ms,ITI_f,ITI_fDuration,timestamp,response,RT,correct
"14",test,learn,"1",B1_Identical_Left,"2","500",.jpg,Which face did you just view?,1 2 3,500,120,"4.17",241150,"2",2314,"1"
"15",test,learn,"2",B2_Identical_Frontal,"3","500",.jpg,Which face did you just view?,1 2 3,500,120,"4.17",243154,"3",1506,"1"
"16",test,learn,"3",B3_Identical_Right,"3","500",.jpg,Which face did you just view?,1 2 3,500,120,"4.17",244714,"3",1061,"1"
"21",test,learn,"4",D1_Identical_Left,"2","500",.jpg,Which face did you just view?,1 2 3,500,120,"4.17",261358,"2",2949,"1"
"22",test,learn,"5",D2_Identical_Frontal,"3","500",.jpg,Which face did you just view?,1 2 3,500,120,"4.17",274442,"2",12583,"0"
"23",test,learn,"6",D3_Identical_Right,"3","500",.jpg,Which face did you just view?,1 2 3,500,120,"4.17",278131,"3",3191,"1"
"28",test,learn,"7",J_1_Iden_L,"3","500",.jpg,Which face did you just view?,1 2 3,500,120,"4.17",293035,"3",1977,"1"
"29",test,learn,"8",J_2_Iden_Front,"3","500",.jpg,Which face did you just view?,1 2 3,500,120,"4.17",297220,"3",3686,"1"
"30",test,learn,"9",J_3_Iden_R,"1","500",.jpg,Which face did you just view?,1 2 3,500,120,"4.17",302851,"1",5130,"1"
"35",test,learn,"10",M_1_Iden_L,"2","500",.jpg,Which face did you just view?,1 2 3,500,120,"4.17",317766,"2",2773,"1"
"36",test,learn,"11",M_2_Iden_Front,"3","500",.jpg,Which face did you just view?,1 2 3,500,120,"4.17",320347,"3",2080,"1"
"37",test,learn,"12",M_3_Iden_R,"1","500",.jpg,Which face did you just view?,1 2 3,500,120,"4.17",322202,"1",1356,"1"
"42",test,learn,"13",N_1_Iden_L,"3","500",.jpg,Which face did you just view?,1 2 3,500,120,"4.17",337374,"3",1996,"1"
"43",test,learn,"14",N_2_Iden_Front,"1","500",.jpg,Which face did you just view?,1 2 3,500,120,"4.17",339730,"1",1857,"1"
"44",test,learn,"15",N_3_Iden_R,"3","500",.jpg,Which face did you just view?,1 2 3,500,120,"4.17",342847,"3",2620,"1"
"49",test,learn,"16",Z_1_Iden_L,"1","500",.jpg,Which face did you just view?,1 2 3,500,120,"4.17",356910,"1",1827,"1"
"50",test,learn,"17",Z_2_Iden_Front,"3","500",.jpg,Which face did you just view?,1 2 3,500,119,"4.20",359102,"3",1694,"1"
"51",test,learn,"18",Z_3_Iden_R,"1","500",.jpg,Which face did you just view?,1 2 3,500,120,"4.17",361138,"1",1539,"1"
"55",test,no_noise,"19",M_5_Front_Halflit,"1","500",.jpg,Which face is one of the six target faces?,1 2 3,500,119,"4.20",400537,"1",3951,"1"
"56",test,no_noise,"20",N_8_13_R_Pro_dark,"2","500",.jpg,Which face is one of the six target faces?,1 2 3,500,120,"4.17",411511,"2",10475,"1"
"57",test,no_noise,"21",Z_6_23_Pro_L,"1","500",.jpg,Which face is one of the six target faces?,1 2 3,500,120,"4.16",416467,"1",4458,"1"
"58",test,no_noise,"22",D5_Halflit_Frontal,"3","500",.jpg,Which face is one of the six target faces?,1 2 3,500,120,"4.17",420163,"2",3196,"0"
"59",test,no_noise,"23",B7_Bottomlit_Frontal,"3","500",.jpg,Which face is one of the six target faces?,1 2 3,500,120,"4.17",424451,"3",3789,"1"
"60",test,no_noise,"24",J_6_23_L_Pro,"2","500",.jpg,Which face is one of the six target faces?,1 2 3,500,120,"4.17",428912,"2",3964,"1"
"61",test,no_noise,"25",D7_Bottomlit_Frontal,"1","500",.jpg,Which face is one of the six target faces?,1 2 3,500,120,"4.17",438319,"2",8908,"0"
"62",test,no_noise,"26",Z_5_Front_Half,"3","500",.jpg,Which face is one of the six target faces?,1 2 3,500,120,"4.17",441668,"3",2850,"1"
"63",test,no_noise,"27",M_6_23_L_Pro,"2","500",.jpg,Which face is one of the six target faces?,1 2 3,500,120,"4.17",444635,"2",2467,"1"
"64",test,no_noise,"28",J_7_Bottom_Lit,"3","500",.jpg,Which face is one of the six target faces?,1 2 3,500,120,"4.17",450947,"3",5813,"1"
"65",test,no_noise,"29",N_4_23_R_Pro,"2","500",.jpg,Which face is one of the six target faces?,1 2 3,500,120,"4.17",455354,"2",3909,"1"
"66",test,no_noise,"30",M_8_13_R_Pro_dark,"3","500",.jpg,Which face is one of the six target faces?,1 2 3,500,120,"4.17",458066,"3",2213,"1"
"67",test,no_noise,"31",J_5_Front_Halflit,"2","500",.jpg,Which face is one of the six target faces?,1 2 3,500,120,"4.17",481619,"2",23054,"1"
"68",test,no_noise,"32",N_7_Front_Bot,"1","500",.jpg,Which face is one of the six target faces?,1 2 3,500,120,"4.17",486162,"1",4046,"1"
"69",test,no_noise,"33",Z_4_23_Pro_R,"2","500",.jpg,Which face is one of the six target faces?,1 2 3,500,120,"4.17",489618,"2",2956,"1"
"70",test,no_noise,"34",D8_13_Profile_R,"2","500",.jpg,Which face is one of the six target faces?,1 2 3,500,120,"4.17",492947,"3",2832,"0"
"71",test,no_noise,"35",M_7_Front_Bot,"2","500",.jpg,Which face is one of the six target faces?,1 2 3,500,120,"4.17",495806,"2",2362,"1"
"72",test,no_noise,"36",B4_23_pro_ri,"2","500",.jpg,Which face is one of the six target faces?,1 2 3,500,120,"4.17",498187,"2",1881,"1"
"73",test,no_noise,"37",D6_23_Profile_L,"1","500",.jpg,Which face is one of the six target faces?,1 2 3,500,120,"4.17",500046,"1",1361,"1"
"74",test,no_noise,"38",N_5_Front_Half,"3","500",.jpg,Which face is one of the six target faces?,1 2 3,500,120,"4.17",503551,"3",3004,"1"
"75",test,no_noise,"39",B6_23_pro_L,"1","500",.jpg,Which face is one of the six target faces?,1 2 3,500,120,"4.17",505866,"2",1815,"0"
"76",test,no_noise,"40",Z_8_13_Pro_R_dark,"2","500",.jpg,Which face is one of the six target faces?,1 2 3,500,120,"4.17",510706,"2",4343,"1"
"77",test,no_noise,"41",J_4_23_R_Pro,"2","500",.jpg,Which face is one of the six target faces?,1 2 3,500,120,"4.17",517084,"2",5880,"1"
